"","urlhold","V2","V3","V4","V5","colorcount"
"138","http://www.freshpair.com/C-IN2-Super-Bright-Army-Trunk-1023-41515.html","C-IN2","Super Bright Army Trunk","26.00","
Materials: 96% poly, 4% elastane","2"
"139","http://www.freshpair.com/Hanes-3-Pack-Crew-Neck-T-Shirts-7870W6.html","Hanes","3-Pack Crew Neck T-Shirts","36.00","
Materials: 100% cotton","1"
"140","http://www.freshpair.com/Polo-Ralph-Lauren-2-Pack-Big-Mid-Rise-Briefs-LXBF.html","Polo Ralph Lauren","2-Pack Big Mid-Rise Briefs","29.00","
Materials: 100% cotton","2"
"141","http://www.freshpair.com/C-IN2-Pop-Low-No-Show-Profile-Brief-1713-9114.html","C-IN2","Pop Low No Show Profile Brief","20.00","
Material: 100% cotton","4"
"142","http://www.freshpair.com/C-IN2-Hand-Me-Down-Relaxed-Tank-1926F.html","C-IN2","Hand Me Down Relaxed Tank","26.00","
Materials: 54% cotton, 46% elastane","2"
"143","http://www.freshpair.com/Hanes-X-Temp-Collared-Sport-Shirt-42X0.html","Hanes","X-Temp Collared Sport Shirt","15.00","
Materials: cotton/polyester","6"
"144","http://www.freshpair.com/Pistol-Pete-RPM-Brief-UB207-844.html","Pistol Pete","RPM Brief","28.60","
Materials: 88% nylon, 12% spandex","2"
"145","http://www.freshpair.com/Go-Softwear-Pop-Retro-Short-2414GS.html","Go Softwear","Pop Retro Short","23.00","
Materials: 60% polyester, 32% rayon, 8% spandex","2"
"146","http://www.freshpair.com/Papi-2-Pack-Microflex-Brazilian-Trunks-626119.html","Papi","2-Pack Microflex Brazilian Trunks","28.00","
Materials: 88% polyester, 12% spandex (techno)","2"
"147","http://www.freshpair.com/Obviously-Naked-Trunk-Y1106.html","Obviously","Naked Trunk","18.95","unknown","3"
"148","http://www.freshpair.com/Calvin-Klein-2-Pack-Body-Trunk-U1804.html","Calvin Klein","2-Pack Body Trunk","34.50","unknown","4"
"149","http://www.freshpair.com/Hugo-Boss-3-Pack-Mini-Brief-50236731.html","Hugo Boss","3-Pack Mini Brief","29.00","
Material: 100% cotton","5"
"150","http://www.freshpair.com/Hugo-Boss-3-Pack-Boxer-Brief-50239869.html","Hugo Boss","3-Pack Boxer Brief","39.00","
Materials: 95% cotton, 5% spandex","4"
"151","http://www.freshpair.com/Cocksox-Bikini-Brief-CX16N.html","Cocksox","Bikini Brief","27.00","
Materials: 92% Supplex® 8% Lycra","5"
"152","http://www.freshpair.com/Hanes-3-Pack-White-Cotton-Basic-Brief-2252P3.html","Hanes","3-Pack White Cotton Basic Brief","9.73","
Materials: 100% pre-shrunk cotton","1"
